"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/49d93bca-ab1b-401a-8775-2f06af4b71d4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","90","LITkillah","7781910","195","52188","39907","2084483","7666","320847","true","false","Spanish","LITkillah"
"https://static-cdn.jtvnw.net/jtv_user_pictures/chica-profile_image-a1b63ab708f9b25d-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","91","Chica","13253850","6735","3879","1967","2084171","17959","211161","true","false","English","Chica"
"https://static-cdn.jtvnw.net/jtv_user_pictures/811dc7d4-1079-4ead-8b48-97f3ff4fa361-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","92","VALORANT","504491685","10380","201598","48602","2074879","296636","11528860","true","false","English","VALORANT"
"https://static-cdn.jtvnw.net/jtv_user_pictures/de9a07ab-b2bb-4dd0-9dec-545a9305e32b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","93","Fundy","247500","30","8764","8250","2067914","-78","0","true","false","English","Fundy"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e3bf8782-a962-4829-afd0-6cc9c3853778-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","94","Twitch","101850","75","1461","1358","2058154","-289","5236","true","false","English","Twitch"
"https://static-cdn.jtvnw.net/jtv_user_pictures/be617983-20cf-4bf2-97a6-5363d0205ae6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","95","TenZ","28739415","1155","46240","24882","2053690","43731","1165556","true","false","English","TenZ"
"https://static-cdn.jtvnw.net/jtv_user_pictures/yassuo-profile_image-cfd7ef046e50e94b-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","96","Yassuo","23659485","13275","6305","1782","2021490","-4440","956602","true","true","English","Yassuo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f063037d-543d-40d4-9f60-87140b42155a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","97","UNLOSTV","17862930","5430","7656","3289","2019708","12067","911922","true","false","Turkish","UNLOSTV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/cdnthe3rd-profile_image-8246eb11f7f4b215-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","98","CDNThe3rd","33803565","13275","5646","2546","2016860","1975","418905","true","false","English","CDNThe3rd"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c7a4c96e-a434-4dfa-9bcf-6190995dd536-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","99","aceu","70961100","5805","24131","12224","2007692","55675","1729901","true","true","English","aceu"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1c14619b-d930-48d4-bd17-91784c8bde0f-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","100","ElSpreen","34719870","2730","22776","12717","2004740","131264","1118750","true","false","Spanish","ElSpreen"
